_pd_block_id	_refln_index_h	_refln_index_k	_refln_index_l	_pd_refln_phase_id	_refln_d_spacing	_diffrn_radiation_wavelength
pattern_4	5	-1	-3	1	0.881038	0.8257653
pattern_4	5	-1	0	1	0.899836	0.8257653
pattern_4	5	-1	3	1	0.881038	0.8257653
pattern_4	5	-1	6	1	0.831009	0.8257653
pattern_4	5	-1	9	1	0.763743	0.8257653
pattern_4	5	0	-4	1	0.799374	0.8257653
pattern_4	5	0	2	1	0.818153	0.8257653
pattern_4	6	-3	0	1	0.793580	0.8257653
pattern_4	6	-3	3	1	0.780597	0.8257653
pattern_4	6	-2	-1	1	0.777884	0.8257653
pattern_4	6	-2	2	1	0.773739	0.8257653
pattern_4	1	1	1	2	3.136352	0.8257653
pattern_4	2	2	0	2	1.920616	0.8257653
pattern_4	2	2	2	2	1.568176	0.8257653
pattern_4	3	1	1	2	1.637906	0.8257653
pattern_4	3	3	1	2	1.246260	0.8257653
pattern_4	3	3	3	2	1.045451	0.8257653
pattern_4	4	0	0	2	1.358080	0.8257653
pattern_4	4	2	2	2	1.108868	0.8257653
pattern_4	4	4	0	2	0.960308	0.8257653
pattern_4	4	4	2	2	0.905387	0.8257653
pattern_4	4	4	4	2	0.784088	0.8257653
pattern_4	5	1	1	2	1.045451	0.8257653
pattern_4	5	3	1	2	0.918230	0.8257653
pattern_4	5	3	3	2	0.828421	0.8257653
pattern_4	6	2	0	2	0.858925	0.8257653
pattern_4	6	2	2	2	0.818953	0.8257653
pattern_5	0	0	6	1	2.166832	0.8257653
pattern_5	0	0	12	1	1.083416	0.8257653
pattern_5	1	0	-14	1	0.905958	0.8257653
pattern_5	1	0	-8	1	1.511968	0.8257653
pattern_5	1	0	-2	1	3.482379	0.8257653
pattern_5	1	0	4	1	2.552749	0.8257653
pattern_5	1	0	10	1	1.239945	0.8257653
pattern_5	1	0	16	1	0.797235	0.8257653
pattern_5	2	-1	0	1	2.381037	0.8257653
pattern_5	2	-1	3	1	2.086806	0.8257653
pattern_5	2	-1	6	1	1.602571	0.8257653
pattern_5	2	-1	9	1	1.235035	0.8257653
pattern_5	2	-1	12	1	0.986130	0.8257653
pattern_5	2	-1	15	1	0.814451	0.8257653
pattern_5	2	0	-10	1	1.099759	0.8257653
pattern_5	2	0	-4	1	1.741190	0.8257653
pattern_5	2	0	2	1	1.965519	0.8257653
pattern_5	2	0	8	1	1.276375	0.8257653
pattern_5	2	0	14	1	0.846738	0.8257653
pattern_5	3	-1	-14	1	0.797793	0.8257653
pattern_5	3	-1	-11	1	0.941789	0.8257653
pattern_5	3	-1	-8	1	1.124938	0.8257653
pattern_5	3	-1	-5	1	1.336930	0.8257653
pattern_5	3	-1	-2	1	1.515785	0.8257653
pattern_5	3	-1	1	1	1.547670	0.8257653
pattern_5	3	-1	4	1	1.405483	0.8257653
pattern_5	3	-1	7	1	1.193978	0.8257653
pattern_5	3	-1	10	1	0.998406	0.8257653
pattern_5	3	-1	13	1	0.841729	0.8257653
pattern_5	3	0	-12	1	0.850916	0.8257653
pattern_5	3	0	-6	1	1.160793	0.8257653
pattern_5	3	0	0	1	1.374692	0.8257653
pattern_5	3	0	6	1	1.160793	0.8257653
pattern_5	3	0	12	1	0.850916	0.8257653
pattern_5	4	-2	0	1	1.190518	0.8257653
pattern_5	4	-2	3	1	1.147988	0.8257653
pattern_5	4	-2	6	1	1.043403	0.8257653
pattern_5	4	-2	9	1	0.918721	0.8257653
pattern_5	4	-2	12	1	0.801285	0.8257653
pattern_5	4	-1	-10	1	0.858766	0.8257653
pattern_5	4	-1	-7	1	0.973935	0.8257653
pattern_5	4	-1	-4	1	1.078952	0.8257653
pattern_5	4	-1	-1	1	1.139412	0.8257653
pattern_5	4	-1	2	1	1.126507	0.8257653
